ngram,count,per_million
in this paper,1662,796.2
the number of,1555,745.0
in order to,1117,535.1
this paper we,1062,508.8
based on the,1010,483.9
the performance of,835,400.0
for this manuscript,785,376.1
interspeech abstract cards,763,365.5
search hub toc,763,365.5
hub toc for,763,365.5
toc for this,763,365.5
automatic speech recognition,747,357.9
copyright isca accepted,717,343.5
isca accepted after,717,343.5
accepted after peer,717,343.5
after peer review,717,343.5
peer review of,717,343.5
this manuscript interspeech,715,342.5
manuscript interspeech abstract,714,342.1
september brisbane australia,707,338.7
review of full,697,333.9
of full paper,697,333.9
abstract cards page,696,333.4
as well as,692,331.5
in terms of,652,312.4
the use of,599,287.0
the proposed method,525,251.5
due to the,515,246.7
performance of the,494,236.7
is based on,478,229.0
one of the,446,213.7
is used to,444,212.7
of the proposed,436,208.9
where is the,420,201.2
of the speech,418,200.3
used in the,418,200.3
as shown in,400,191.6
page view manuscript,395,189.2
with respect to,394,188.8
the training data,393,188.3
according to the,388,185.9
view manuscript of,386,184.9
each of the,375,179.7
the results of,372,178.2
can be used,361,172.9
show that the,361,172.9
the speech signal,336,161.0
results show that,329,157.6
cards page view,328,157.1
shown in figure,324,155.2
part of the,315,150.9
shown in table,309,148.0
in this work,306,146.6
compared to the,303,145.2
the case of,301,144.2
the effect of,298,142.8
it can be,295,141.3
are shown in,293,140.4
on the other,287,137.5
can be seen,283,135.6
in this study,280,134.1
the set of,280,134.1
in the case,278,133.2
speaker veri cation,277,132.7
table shows the,277,132.7
the fact that,272,130.3
word error rate,269,128.9
shown in fig,264,126.5
be used to,261,125.0
the other hand,261,125.0
this paper presents,259,124.1
to improve the,257,123.1
figure shows the,255,122.2
are used to,254,121.7
described in section,253,121.2
interspeech detailed author,249,119.3
detailed author index,249,119.3
that the proposed,245,117.4
speech recognition asr,241,115.5
abstract this paper,240,115.0
in this section,240,115.0
in the following,234,112.1
in the training,233,111.6
the quality of,230,110.2
for speech recognition,229,109.7
of the system,227,108.7
in section we,226,108.3
and is the,224,107.3
that of the,222,106.4
is shown in,222,106.4
is the number,219,104.9
in which the,217,104.0
the amount of,214,102.5
total number of,213,102.0
used for the,211,101.1
is given by,211,101.1
to evaluate the,206,98.7
results of the,205,98.2
was used to,202,96.8
paper we propose,201,96.3
for each of,200,95.8
in this case,200,95.8
is used for,198,94.9
to reduce the,198,94.9
the vocal tract,198,94.9
corresponding to the,198,94.9
page abstract this,195,93.4
robust speech recognition,194,92.9
the presence of,194,92.9
of the signal,192,92.0
the language model,190,91.0
this paper is,190,91.0
of the two,189,90.5
of the target,189,90.5
of the speaker,188,90.1
the size of,188,90.1
gaussian mixture model,187,89.6
in addition to,187,89.6
of the training,187,89.6
db db db,187,89.6
most of the,186,89.1
to estimate the,186,89.1
in the first,186,89.1
the training set,184,88.1
in table the,182,87.2
the probability of,181,86.7
respect to the,181,86.7
we use the,181,86.7
the accuracy of,180,86.2
such as the,179,85.8
speech recognition system,178,85.3
size of the,177,84.8
in the same,177,84.8
paper september brisbane,177,84.8
difference between the,176,84.3
this section we,176,84.3
of the acoustic,175,83.8
is that the,175,83.8
we used the,175,83.8
full paper september,174,83.4
as function of,172,82.4
similar to the,172,82.4
as described in,171,81.9
the problem of,170,81.4
there is no,169,81.0
which can be,169,81.0
the basis of,166,79.5
it is possible,165,79.0
analysis of the,165,79.0
the total number,165,79.0
used in this,164,78.6
male and female,164,78.6
note that the,164,78.6
university of technology,163,78.1
the combination of,163,78.1
the proposed approach,162,77.6
abstract in this,159,76.2
by using the,159,76.2
of of of,159,76.2
quality of the,157,75.2
that can be,155,74.3
the output of,155,74.3
this work was,155,74.3
in figure the,155,74.3
can also be,154,73.8
number of speakers,154,73.8
of the same,153,73.3
well as the,153,73.3
in our experiments,153,73.3
the value of,153,73.3
the difference between,152,72.8
training and testing,151,72.3
extracted from the,150,71.9
speech recognition in,150,71.9
it is not,150,71.9
the test set,150,71.9
of the tongue,149,71.4
can be obtained,148,70.9
derived from the,148,70.9
in section the,148,70.9
the duration of,147,70.4
the experimental results,146,69.9
voice activity detection,146,69.9
applied to the,146,69.9
are used for,145,69.5
words in the,145,69.5
the length of,145,69.5
is defined as,144,69.0
the end of,143,68.5
the same as,143,68.5
at the same,142,68.0
to train the,142,68.0
of this paper,142,68.0
the baseline system,141,67.5
referred to as,141,67.5
hidden markov model,140,67.1
of the data,140,67.1
the distribution of,140,67.1
of training data,140,67.1
the effectiveness of,140,67.1
table of contents,140,67.1
and it is,139,66.6
gaussian mixture models,139,66.6
the context of,139,66.6
function of the,138,66.1
some of the,137,65.6
this paper describes,137,65.6
interspeech table of,137,65.6
of contents page,137,65.6
in the speech,136,65.2
on the basis,136,65.2
of the original,136,65.2
an example of,136,65.2
the sum of,136,65.2
between the two,136,65.2
index terms speech,136,65.2
we show that,135,64.7
be used for,135,64.7
value of the,135,64.7
supported by the,135,64.7
of the word,134,64.2
so that the,134,64.2
is applied to,134,64.2
large number of,133,63.7
this work we,133,63.7
speech and noise,133,63.7
the likelihood of,133,63.7
and are the,133,63.7
the speech recognition,132,63.2
is possible to,132,63.2
estimation of the,132,63.2
distribution of the,132,63.2
accuracy of the,132,63.2
in the context,132,63.2
page abstract in,132,63.2
that it is,131,62.8
depending on the,131,62.8
the form of,131,62.8
used as the,131,62.8
shows that the,131,62.8
included in the,130,62.3
institute of technology,130,62.3
and for the,130,62.3
speech recognition systems,129,61.8
compared with the,129,61.8
it has been,129,61.8
all of the,129,61.8
can be found,129,61.8
of speech recognition,128,61.3
related to the,128,61.3
are based on,128,61.3
better than the,128,61.3
by means of,127,60.8
of the feature,127,60.8
organized as follows,127,60.8
were used for,126,60.4
is organized as,126,60.4
of the first,126,60.4
continuous speech recognition,125,59.9
and in the,124,59.4
the rest of,124,59.4
cards page wedse,124,59.4
to that of,123,58.9
hidden markov models,123,58.9
with the same,123,58.9
characteristics of the,123,58.9
assumed to be,123,58.9
the relationship between,123,58.9
in speech recognition,123,58.9
paper is organized,123,58.9
the same time,122,58.4
the purpose of,122,58.4
paper we present,122,58.4
the results show,122,58.4
to determine the,122,58.4
than that of,122,58.4
duration of the,122,58.4
used to train,122,58.4
in the second,122,58.4
in the test,122,58.4
was used for,122,58.4
we can see,122,58.4
of all the,121,58.0
the clean speech,121,58.0
be able to,120,57.5
would like to,120,57.5
the impact of,119,57.0
the parameters of,119,57.0
mean and variance,119,57.0
depends on the,119,57.0
were used to,119,57.0
the target speaker,119,57.0
are presented in,119,57.0
for each speaker,119,57.0
use of the,118,56.5
the estimation of,118,56.5
obtained from the,118,56.5
for robust speech,118,56.5
were asked to,117,56.1
in the next,117,56.1
the test data,116,55.6
of the three,115,55.1
is obtained by,115,55.1
the results are,115,55.1
the development of,114,54.6
is used in,114,54.6
of speech and,114,54.6
values of the,114,54.6
in our previous,114,54.6
of the vocal,114,54.6
view manuscript thuse,114,54.6
need to be,113,54.1
have been proposed,113,54.1
for example the,113,54.1
the proposed algorithm,112,53.7
is used as,112,53.7
of the model,112,53.7
described in the,112,53.7
used for training,112,53.7
search interspeech detailed,112,53.7
as in the,112,53.7
training and test,111,53.2
two types of,111,53.2
the effects of,111,53.2
in other words,110,52.7
view manuscript wedse,110,52.7
the feature vector,110,52.7
parameters of the,109,52.2
and can be,109,52.2
corresponds to the,109,52.2
of the most,108,51.7
system based on,108,51.7
shown to be,108,51.7
the degree of,108,51.7
likelihood of the,107,51.3
of technology japan,106,50.8
the training and,106,50.8
the posterior probability,106,50.8
to model the,105,50.3
have shown that,105,50.3
of the test,105,50.3
end of the,105,50.3
those of the,104,49.8
of the vowel,104,49.8
terms of the,104,49.8
in the form,104,49.8
to deal with,104,49.8
state of the,103,49.3
experimental results show,103,49.3
is necessary to,103,49.3
in contrast to,103,49.3
we found that,103,49.3
and the number,103,49.3
results for the,103,49.3
in the experiments,103,49.3
which is the,103,49.3
to obtain the,103,49.3
is de ned,103,49.3
is set to,103,49.3
the acoustic models,102,48.9
this can be,102,48.9
this paper proposes,101,48.4
we propose to,101,48.4
model of the,100,47.9
the asr system,100,47.9
are used as,100,47.9
shown that the,100,47.9
representation of the,100,47.9
the task of,100,47.9
cards page thuse,100,47.9
as can be,100,47.9
the development set,100,47.9
be found in,100,47.9
is able to,99,47.4
to be the,99,47.4
the present study,99,47.4
this study we,99,47.4
length of the,99,47.4
in the feature,99,47.4
in the previous,99,47.4
the importance of,98,46.9
of the current,98,46.9
speaker identi cation,98,46.9
the classi cation,98,46.9
showed that the,98,46.9
fact that the,98,46.9
the role of,97,46.5
poster this paper,97,46.5
mixture model gmm,97,46.5
improve the performance,97,46.5
we investigate the,97,46.5
because of the,97,46.5
de ned as,97,46.5
page abstract we,97,46.5
in fig the,97,46.5
the perception of,96,46.0
is one of,96,46.0
associated with the,96,46.0
this work is,96,46.0
the order of,96,46.0
the mean of,96,46.0
are given in,96,46.0
is an important,95,45.5
is similar to,95,45.5
the system is,95,45.5
method based on,95,45.5
output of the,95,45.5
the result of,95,45.5
error rate wer,95,45.5
probability of the,95,45.5
from the same,94,45.0
data from the,94,45.0
rest of the,94,45.0
the ratio of,94,45.0
given by the,94,45.0
effect of the,94,45.0
shown in the,94,45.0
amount of data,94,45.0
the proposed system,93,44.6
it is necessary,93,44.6
it is important,93,44.6
to compute the,93,44.6
evaluation of the,93,44.6
the feature space,93,44.6
and the other,93,44.6
first and second,93,44.6
the paper is,93,44.6
the goal of,92,44.1
present in the,92,44.1
has been shown,92,44.1
our previous work,92,44.1
of the utterance,92,44.1
the recognition performance,92,44.1
speech in the,92,44.1
it is also,92,44.1
the distance between,92,44.1
subset of the,91,43.6
the best performance,91,43.6
speech recognition performance,91,43.6
version of the,91,43.6
proposed method is,91,43.6
source and target,91,43.6
was supported by,91,43.6
fig shows the,91,43.6
in the literature,90,43.1
the mean and,90,43.1
are used in,90,43.1
of the input,90,43.1
on the development,89,42.6
support vector machine,89,42.6
been shown to,89,42.6
speakers in the,89,42.6
in the present,89,42.6
trained on the,89,42.6
training data is,89,42.6
addition to the,89,42.6
ibm watson research,88,42.2
watson research center,88,42.2
sum of the,88,42.2
in case of,88,42.2
to the baseline,88,42.2
results showed that,88,42.2
the characteristics of,88,42.2
the acoustic model,88,42.2
section describes the,88,42.2
the sequence of,88,42.2
speech signal is,88,42.2
in this experiment,88,42.2
where and are,88,42.2
can see that,88,42.2
in the current,87,41.7
research center usa,87,41.7
hmm-based speech synthesis,87,41.7
for all the,87,41.7
of the features,87,41.7
the target language,87,41.7
that there is,86,41.2
in the acoustic,86,41.2
the speech data,86,41.2
to be more,86,41.2
distance between the,86,41.2
in the proposed,86,41.2
estimate of the,86,41.2
be used in,86,41.2
needs to be,86,41.2
we assume that,86,41.2
to find the,86,41.2
is the same,86,41.2
be seen that,86,41.2
speech recognition wedse,85,40.7
the model parameters,85,40.7
used in our,85,40.7
word in the,85,40.7
at the end,85,40.7
mezzanine level area,84,40.2
be used as,84,40.2
the robustness of,84,40.2
is important to,84,40.2
of the noise,84,40.2
cards page frise,84,40.2
